Type,SampleID_bac,SampleID_arch,SampleID_euk
OxicMay1PA,AB3a103A,AA3a103A,AE3a103A
OxicMay2PA,AB3b103A,AA3b103A,AE3b103A
MicroOxMay1PA,AB3a198A,AA3a198A,AE3a198A
MicroOxMay2PA,AB3b198A,AA3b198A,AE3b198A
SubOxMay1PA,AB3a234A,AA3a234A,AE3a234A
SubOxMay2PA,AB3b234A,AA3b234A,AE3b234A
IntMay1PA,AB3a295A,AA3a295A,AE3a295A
IntMay2PA,AB3b295A,AA3b295A,AE3b295A
AnoxMay1PA,AB3a314A,AA3a314A,AE3a314A
AnoxMay2PA,AB3b314A,AA3b314A,AE3b314A
DeepMay1PA,AB3a900A,AA3a900A,AE3a900AM
DeepMay2PA,AB1b900A,AA1b900A,AE1b900AM
OxicMay1FL,AB3a103B,AA3a103B,AE3a103B
OxicMay2FL,AB3b103B,AA3b103B,AE3b103B
MicroOxMay1FL,AB3a198B,AA3a198B,AE3a198B
MicroOxMay2FL,AB3b198B,AA3b198B,AE3b198B
SubOxMay1FL,AB3a234B,AA3a234B,AE3a234B
SubOxMay2FL,AB3b234B,AA3b234B,AE3b234B
IntMay1FL,AB3a295B,AA3a295B,AE3a295B
IntMay2FL,AB3b295B,AA3b295B,AE3b295B
AnoxMay1FL,AB3a314B,AA3a314B,AE3a314B
AnoxMay2FL,AB3b314B,AA3b314B,AE3b314B
DeepMay1FL,AB3a900B,AA3a900B,AE3a900BM
DeepMay2FL,AB1b900B,AA1b900B,AE1b900BM
OxicNov1PA,AB2a143A,AA2a143A,AE2a143A
OxicNov2PA,AB2b143A,AA2b143A,AE2b143A
MicroOxNov1PA,AB2a200A,AA2a200A,AE2a200A
MicroOxNov2PA,AB2b200A,AA2b200A,AE2b200A
SubOxNov1PA,AB2a237A,AA2a237A,AE2a237A
SubOxNov2PA,AB2b237A,AA2b237A,AE2b237A
IntNov1PA,AB2a247A,AA2a247A,AE2a247A
IntNov2PA,AB2b247A,AA2b247A,AE2b247A
AnoxNov1PA,AB2a267A,AA2a267A,AE2a267A
AnoxNov2PA,AB2b267A,AA2b267A,AE2b267A
DeepNov1PA,AB2a900AN,AA2a900AN,AE2a900AN
DeepNov2PA,AB2b900AN,AA2b900AN,AE2b900AN
OxicNov1FL,AB2a143B,AA2a143B,AE2a143B
OxicNov2FL,AB2b143B,AA2b143B,AE2b143B
MicroOxNov1FL,AB2a200B,AA2a200B,AE2a200B
MicroOxNov2FL,AB2b200B,AA2b200B,AE2b200B
SubOxNov1FL,AB2a237B,AA2a237B,AE2a237B
SubOxNov2FL,AB2b237B,AA2b237B,AE2b237B
IntNov1FL,AB2a247B,AA2a247B,AE2a247B
IntNov2FL,AB2b247B,AA2b247B,AE2b247B
AnoxNov1FL,AB2a267B,AA2a267B,AE2a267B
AnoxNov2FL,AB2b267B,AA2b267B,AE2b267B
DeepNov1FL,AB2a900BN,AA2a900BN,AE2a900BN
DeepNov2FL,AB2b900BN,AA2b900BN,AE2b900BN
